,idea,title_a,title_b,title_b_preferred,prompt,chosen,rejected
746,Evaluating binary classification models,Binary Classification Metrics: A Deep Dive,5 Key Metrics for Binary Classification Models,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: evaluating binary classification models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 Key Metrics for Binary Classification Models'}]","[{'role': 'assistant', 'content': 'Binary Classification Metrics: A Deep Dive'}]"
747,RAG,Build Your Own RAG System in 30 Minutes,Unlock the Power of RAG with These 5 Steps,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: rag\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Build Your Own RAG System in 30 Minutes'}]","[{'role': 'assistant', 'content': 'Unlock the Power of RAG with These 5 Steps'}]"
748,Python tutorial for AI beginners,Python AI Basics: Your Ultimate Guide,Python for AI: Start Coding Today!,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: python tutorial for ai beginners\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Python AI Basics: Your Ultimate Guide'}]","[{'role': 'assistant', 'content': 'Python for AI: Start Coding Today!'}]"
749,Statistics for data scientists,Master Stats for Data Science in 30 Minutes,Statistics 101: Essential Concepts for Data Scientists,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: statistics for data scientists\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Stats for Data Science in 30 Minutes'}]","[{'role': 'assistant', 'content': 'Statistics 101: Essential Concepts for Data Scientists'}]"
750,LLM Fine-tuning FAQ,LLM Fine-tuning 101: 7 Essential FAQs,LLM Fine-tuning Demystified: 6 FAQs You Need to Know,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: llm fine-tuning faq\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'LLM Fine-tuning 101: 7 Essential FAQs'}]","[{'role': 'assistant', 'content': 'LLM Fine-tuning Demystified: 6 FAQs You Need to Know'}]"
751,text embedding models,Introduction to Text Embedding Models: The Basics,Text Embedding Models: From Theory to Practice,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: text embedding models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Text Embedding Models: From Theory to Practice'}]","[{'role': 'assistant', 'content': 'Introduction to Text Embedding Models: The Basics'}]"
752,Expectation maximization,5 Key Steps in Expectation Maximization Explained,How Expectation Maximization Can Boost Your Data Science Skills,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: expectation maximization\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How Expectation Maximization Can Boost Your Data Science Skills'}]","[{'role': 'assistant', 'content': '5 Key Steps in Expectation Maximization Explained'}]"
753,"My $15,000 content creation strategy",7 Secrets to Boosting Your Content Game (Free!),How I Generated $15K+ with These Content Tactics,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: my $15,000 content creation strategy\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How I Generated $15K+ with These Content Tactics'}]","[{'role': 'assistant', 'content': '7 Secrets to Boosting Your Content Game (Free!)'}]"
754,decision trees,Decision Trees 101: The Ultimate Guide,Build Your Own Decision Tree in 10 Minutes,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: decision trees\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Decision Trees 101: The Ultimate Guide'}]","[{'role': 'assistant', 'content': 'Build Your Own Decision Tree in 10 Minutes'}]"
755,LLMs,Unlock LLM Potential: 5 Must-Know Techniques,LLMs vs. Humans: Who Will Win in 2025?,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: llms\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'LLMs vs. Humans: Who Will Win in 2025?'}]","[{'role': 'assistant', 'content': 'Unlock LLM Potential: 5 Must-Know Techniques'}]"
756,causal discovery,The Ultimate Guide to Causal Discovery,Master Causal Discovery with These 3 Simple Steps,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: causal discovery\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to Causal Discovery'}]","[{'role': 'assistant', 'content': 'Master Causal Discovery with These 3 Simple Steps'}]"
757,decision tree ensembles,Master Decision Tree Ensembles in Just 10 Minutes,Build Stronger Models with These Decision Tree Techniques,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: decision tree ensembles\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Decision Tree Ensembles in Just 10 Minutes'}]","[{'role': 'assistant', 'content': 'Build Stronger Models with These Decision Tree Techniques'}]"
758,KMeans,How KMeans Can Transform Your Data Analysis,Boost Your Data Skills with KMeans Clustering,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: kmeans\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How KMeans Can Transform Your Data Analysis'}]","[{'role': 'assistant', 'content': 'Boost Your Data Skills with KMeans Clustering'}]"
759,"P-Values. definition, examples, and misconceptions",5 Key Points About P-Values You Need to Know,"Understanding P-Values: Definitions, Examples, and Misconceptions",1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: p-values. definition, examples, and misconceptions\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Understanding P-Values: Definitions, Examples, and Misconceptions'}]","[{'role': 'assistant', 'content': '5 Key Points About P-Values You Need to Know'}]"
760,2 plots for exploratory data analysis,Uncover Insights with These 2 EDA Plots,Visualize Data Magic with These 2 Plots,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: 2 plots for exploratory data analysis\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Uncover Insights with These 2 EDA Plots'}]","[{'role': 'assistant', 'content': 'Visualize Data Magic with These 2 Plots'}]"
761,Spectral clustering,Spectral Clustering Simplified: A Step-by-Step Guide,Master Spectral Clustering with These 3 Easy Techniques,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: spectral clustering\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Spectral Clustering Simplified: A Step-by-Step Guide'}]","[{'role': 'assistant', 'content': 'Master Spectral Clustering with These 3 Easy Techniques'}]"
762,How to handle imbalanced data in ML,5 Tricks to Handle Imbalanced Data Like a Pro,The Ultimate Guide to Dealing with Imbalanced Data,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to handle imbalanced data in ml\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to Dealing with Imbalanced Data'}]","[{'role': 'assistant', 'content': '5 Tricks to Handle Imbalanced Data Like a Pro'}]"
763,5 AI automation use cases,AI Takes Over: 5 Automation Success Stories,From Manual to Automated: 5 AI Case Studies,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: 5 ai automation use cases\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'AI Takes Over: 5 Automation Success Stories'}]","[{'role': 'assistant', 'content': 'From Manual to Automated: 5 AI Case Studies'}]"
764,AI for business,AI in Business: 5 Key Strategies for Success,AI for Business: Real-World Examples Explained,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: ai for business\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'AI for Business: Real-World Examples Explained'}]","[{'role': 'assistant', 'content': 'AI in Business: 5 Key Strategies for Success'}]"
765,Time series forecasting techniques,5 Essential Time Series Forecasting Techniques,Predict the Future with These Time Series Methods,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: time series forecasting techniques\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 Essential Time Series Forecasting Techniques'}]","[{'role': 'assistant', 'content': 'Predict the Future with These Time Series Methods'}]"
766,How to think like a data scientist,How to Develop a Data Scientist Mindset,From Novice to Data Scientist: Thinking Strategies,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to think like a data scientist\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How to Develop a Data Scientist Mindset'}]","[{'role': 'assistant', 'content': 'From Novice to Data Scientist: Thinking Strategies'}]"
767,"P-Values. definition, examples, and misconceptions","P-Values Explained: Definitions, Examples, and Myths","Understanding P-Values: Definitions, Examples, and Misconceptions",0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: p-values. definition, examples, and misconceptions\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'P-Values Explained: Definitions, Examples, and Myths'}]","[{'role': 'assistant', 'content': 'Understanding P-Values: Definitions, Examples, and Misconceptions'}]"
768,the Mapper algorithm,How the Mapper Algorithm Simplifies Complex Data,Mapper Algorithm: The Power Behind Data Analysis,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: the mapper algorithm\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How the Mapper Algorithm Simplifies Complex Data'}]","[{'role': 'assistant', 'content': 'Mapper Algorithm: The Power Behind Data Analysis'}]"
